data,ticker,abertura,fechamento,maxima,minima,volume,variacao_pct
2025-12-08 00:00:00-03:00,PETR4,30.6125375133807,30.69980812072754,31.019799731165236,30.534963845683748,30271600,
2025-12-09 00:00:00-03:00,PETR4,30.651325569917553,30.89374351501465,30.93252942448907,30.37981680558803,23863000,0.6317153303514234
2025-12-10 00:00:00-03:00,PETR4,30.91313565259242,30.971317291259766,31.01980014064707,30.583448947654883,22123700,0.251098660825666
2025-12-11 00:00:00-03:00,PETR4,30.913134892890834,30.45738983154297,30.932528771970006,30.302242497913817,64927900,-1.6593658412515366
2025-12-12 00:00:00-03:00,PETR4,30.45739009073796,30.63193130493164,30.757987821014787,30.38951336288533,39659900,0.5730677328360967
2025-12-15 00:00:00-03:00,PETR4,30.719202083172153,30.738595962524414,30.932529207540632,30.631931475589106,31898900,0.34821394880708567
2025-12-16 00:00:00-03:00,PETR4,30.57375225059855,29.807710647583008,30.57375225059855,29.68165412847398,52661900,-3.0283924356086844
2025-12-17 00:00:00-03:00,PETR4,29.924072541842637,30.137399673461914,30.137399673461914,29.885284781819752,39337100,1.1060528256491287
2025-12-18 00:00:00-03:00,PETR4,30.253760849288856,29.962858200073242,30.33133451917925,29.894981470106917,34311000,-0.5791523996092063
2025-12-19 00:00:00-03:00,PETR4,30.127702648033186,30.069522857666016,30.29254692865866,30.03073509775311,45807700,0.3559895951198433
2025-12-22 00:00:00-03:00,PETR4,30.30224399563898,30.15679359436035,30.573752767660697,30.15679359436035,35896900,0.29022986865283595
2025-12-23 00:00:00-03:00,PETR4,30.549999237060547,30.309999465942383,30.56999969482422,30.200000762939453,35703900,0.5080310381892827
2025-12-26 00:00:00-03:00,PETR4,30.309999465942383,30.40999984741211,30.43000030517578,30.1200008392334,20178600,0.3299253818268566
2025-12-29 00:00:00-03:00,PETR4,30.559999465942383,30.729999542236328,30.809999465942383,30.520000457763672,20588100,1.0522844341659843
2025-12-30 00:00:00-03:00,PETR4,30.799999237060547,30.81999969482422,30.959999084472656,30.649999618530273,16880600,0.2928739145088288
2026-01-02 00:00:00-03:00,PETR4,30.959999084472656,30.709999084472656,30.959999084472656,30.360000610351562,21625200,-0.3569130805995302
2026-01-05 00:00:00-03:00,PETR4,30.700000762939453,30.200000762939453,30.770000457763672,29.729999542236328,48211400,-1.6606914253900595
2026-01-06 00:00:00-03:00,PETR4,30.3700008392334,29.639999389648438,30.43000030517578,29.6200008392334,38095000,-1.8543091362376196
2026-01-07 00:00:00-03:00,PETR4,29.670000076293945,29.760000228881836,29.790000915527344,29.530000686645508,22480100,0.4048611393538293
2025-12-08 00:00:00-03:00,VALE3,66.91682520415998,66.2706527709961,67.33493891087078,66.03308948306608,20860900,
